gene	Mean_Feature_Posterior	CPDwd	CPDwd_stderr	CPDwd_min	CPDwd_q25	CPDwd_q75	CPDwd_p_val	CPDwd_p_adjust	CPDwd_signif	Droso_gene_name	PrimaryFBgn
g4021	0.9	0.006952766	0.000127329	0.006741351	0.006141493	0.007875086	5.07E-76	2.33E-73	sig	Q9VEU2	FBgn0038438
g6458	0.77	0.012880247	0.000242389	0.012477787	0.011349651	0.014340208	6.87E-75	3.15E-72	sig	STUB	FBgn0003319
g5823	0.7825	0.011823832	0.000223257	0.011453137	0.010707743	0.013012725	9.47E-75	4.35E-72	sig	Q9VYU7	FBgn0004511
g12370	0.8	0.006882646	0.00013017	0.006666513	0.005892832	0.007676269	1.11E-74	5.08E-72	sig	FRIZ2	FBgn0016797
g10723	0.895	0.010213609	0.000195396	0.009889175	0.008914947	0.011169782	3.31E-74	1.52E-71	sig	TOLL6	FBgn0036494
g6816	0.975	0.011216669	0.000215562	0.010858751	0.009841176	0.012811481	5.11E-74	2.35E-71	sig	PABP	FBgn0265297
g2394	0.92	0.005822808	0.000112229	0.005636464	0.005017968	0.006541658	6.75E-74	3.10E-71	sig	Q8SZ78	FBgn0039818
g4930	0.772105263	0.021051764	0.000410628	0.02036996	0.018771001	0.023194511	2.11E-73	9.70E-71	sig	Q9W247	FBgn0034733
g2040	0.95	0.004909047	9.61E-05	0.004749497	0.004265958	0.005428715	2.96E-73	1.36E-70	sig	TBA1	FBgn0003884
g2623	0.981666667	0.005339343	0.0001099	0.005156866	0.00460081	0.005748574	3.54E-71	1.62E-68	sig	A1Z9M2	FBgn0033906
g7498	0.9075	0.010432557	0.000216629	0.010072868	0.008625041	0.011849793	8.16E-71	3.74E-68	sig	CAC1D	FBgn0001991
g1835	0.785	0.004851878	0.000100948	0.004684265	0.00420548	0.005518995	9.85E-71	4.52E-68	sig	A8Y592	FBgn0086917
g12408	0.75	0.005537187	0.00011591	0.005344731	0.004709805	0.006173005	1.76E-70	8.06E-68	sig	Q9VM07	FBgn0031918
g8458	0.906	0.006598954	0.000138149	0.006369573	0.005978904	0.007460344	1.77E-70	8.13E-68	sig	Q9TVI0	FBgn0028422
g3691	0.886666667	0.007024589	0.000147125	0.006780305	0.005909233	0.008198372	1.85E-70	8.48E-68	sig	Q7JW03	FBgn0029996
g5382	0.863333333	0.010377665	0.000218953	0.010014117	0.008855686	0.011711452	3.71E-70	1.70E-67	sig	M9PCV1	FBgn0032480
g6336	0.86	0.024719841	0.000524973	0.02384818	0.02079736	0.028047718	6.89E-70	3.16E-67	sig	X2JAH4	FBgn0001316
g9388	0.763846154	0.007132663	0.000151749	0.0068807	0.006058907	0.008268381	8.17E-70	3.75E-67	sig	X2JD07	FBgn0027330
g6822	0.798333333	0.00809486	0.000172757	0.007808015	0.006976949	0.009130146	1.10E-69	5.04E-67	sig	Q9VF10	FBgn0038385
g13499	0.81625	0.007047674	0.000153425	0.006792928	0.006143168	0.007827694	7.20E-69	3.30E-66	sig	FUCTC	FBgn0044872
g11241	1	0.007952982	0.000173401	0.007665069	0.007048372	0.008978481	8.33E-69	3.82E-66	sig	RL40	FBgn0003941
g12229	0.81	0.005164771	0.000113742	0.004975915	0.004305942	0.00594329	2.15E-68	9.85E-66	sig	TBA1	FBgn0003884
g714	0.7925	0.004544139	0.000100291	0.004377617	0.003919474	0.005175817	2.63E-68	1.21E-65	sig	Q9VS55	FBgn0035769
g10954	0.978787879	0.005259312	0.000116165	0.005066433	0.004506187	0.006045078	2.83E-68	1.30E-65	sig	CO4A1	FBgn0000299
g6098	0.86502994	0.011685339	0.000264518	0.011246136	0.010152086	0.013580213	2.88E-67	1.32E-64	sig	A1Z9J3	FBgn0013733
g10636	0.953333333	0.007784243	0.00017934	0.007486468	0.006503171	0.0090396	1.51E-66	6.94E-64	sig	CANA	FBgn0012051
g14172	0.964	0.006529331	0.000151776	0.006277324	0.005490618	0.007613425	3.50E-66	1.61E-63	sig	SODM	FBgn0010213
g2712	0.975	0.007863709	0.000184896	0.007556709	0.006705357	0.008796606	1.02E-65	4.70E-63	sig	RDX	FBgn0264493
g129	0.9475	0.006205201	0.000149403	0.005957133	0.005099651	0.007039149	9.48E-65	4.35E-62	sig	Q8IMQ7	FBgn0039465
g11219	1	0.004913272	0.00011879	0.004716033	0.00414128	0.005647414	1.40E-64	6.43E-62	sig	Q9VMR6	FBgn0031703
g9250	0.865	0.003027149	7.39E-05	0.002904484	0.002433064	0.003528654	3.36E-64	1.54E-61	sig	Q9W0J2	FBgn0264272
g10077	0.8075	0.00830301	0.000203037	0.007965888	0.007314788	0.00944957	4.05E-64	1.86E-61	sig	PITX	FBgn0020912
g12029	0.937894737	0.0031493	7.76E-05	0.003020522	0.002617433	0.003589375	7.86E-64	3.61E-61	sig	Q9V4A1	FBgn0039925
g3730	0.88875	0.0039765	0.000102062	0.003807037	0.003290755	0.004783318	3.70E-62	1.70E-59	sig	TBB1	FBgn0284243
g3435	0.916041667	0.00317081	8.22E-05	0.003034333	0.002735655	0.003735682	9.32E-62	4.28E-59	sig	M9PGM6	FBgn0023531
g8913	0.786666667	0.010049757	0.0002625	0.009613905	0.009122921	0.011322051	1.88E-61	8.65E-59	sig	M9PDF7	FBgn0000464
g883	0.913333333	0.00322943	8.47E-05	0.003088862	0.002846439	0.003699737	2.64E-61	1.21E-58	sig	Q8SZ78	FBgn0039818
g8586	0.871666667	0.00826251	0.000219717	0.007897694	0.007078363	0.009624616	9.91E-61	4.55E-58	sig	Q9W3M4	FBgn0027280
g2322	0.768	0.001939043	5.27E-05	0.001851596	0.001565315	0.002262109	7.02E-60	3.22E-57	sig	A0A0S0WIG6	FBgn0000568
g3307	0.95969697	0.008243069	0.000225529	0.007868602	0.006750894	0.009369069	1.38E-59	6.32E-57	sig	CANA	FBgn0012051
g2746	0.88125	0.003623005	0.000101373	0.003454686	0.00303568	0.004323223	1.08E-58	4.98E-56	sig	Q9VXZ8	FBgn0027601
g1255	0.831666667	0.009029292	0.000253102	0.008609045	0.007421428	0.010774108	1.28E-58	5.88E-56	sig	Q9W4A6	FBgn0259994
g2175	0.810909091	0.014775504	0.000422394	0.014074166	0.013979298	0.017251725	7.79E-58	3.57E-55	sig	Q9VRT1	FBgn0035669
g9759	0.88	0.006491744	0.000185776	0.006183282	0.005416724	0.007739226	8.57E-58	3.93E-55	sig	TBA1	FBgn0003884
g5839	1	0.064376602	0.001874315	0.061264505	0.045881266	0.080325517	4.15E-57	1.90E-54	sig	Q9VMR6	FBgn0031703
g3303	0.98	0.01089864	0.000319738	0.01036775	0.01025702	0.012471372	8.32E-57	3.82E-54	sig	Q9V3M3	FBgn0028949
g12306	0.84	0.011071121	0.000325366	0.010530886	0.008460585	0.01357717	9.76E-57	4.48E-54	sig	IDE	FBgn0001247
g5651	0.998	0.007474249	0.000221194	0.00710698	0.006853944	0.008826779	1.84E-56	8.46E-54	sig	H1UUD2	FBgn0015222
g9469	0.807333333	0.005210029	0.000169822	0.004928058	0.004589148	0.005926385	1.15E-52	5.26E-50	sig	Q9VLT3	FBgn0267488
g411	0.83	0.012203337	0.000408116	0.011525706	0.011087564	0.01406179	1.14E-51	5.23E-49	sig	TRE12	FBgn0033644
g8454	0.94	0.009246284	0.000311582	0.008728936	0.007053454	0.01147331	2.24E-51	1.03E-48	sig	Q9VZG9	FBgn0035505
g5896	0.754	0.006320967	0.000225337	0.005946818	0.005642443	0.00756629	3.28E-49	1.51E-46	sig	Q7JZB1	FBgn0033543
g11370	0.7975	0.007280677	0.000263758	0.006842735	0.006659191	0.008544921	1.35E-48	6.20E-46	sig	BLM	FBgn0002906
g3127	0.891428571	0.004041457	0.000151516	0.003789881	0.003484141	0.004790893	2.70E-47	1.24E-44	sig	A8JUX2	FBgn0030613
g11688	0.91	0.004500324	0.000188463	0.004187402	0.003226004	0.005593144	3.59E-43	1.65E-40	sig	GNAI	FBgn0001104
g11315	0.7825	0.014125903	0.000598949	0.013131413	0.010652924	0.018271265	1.02E-42	4.69E-40	sig	FTF1B	FBgn0261239
g4882	0.79625	0.011934206	0.000510707	0.011086233	0.007682376	0.016318683	2.22E-42	1.02E-39	sig	Q9W0I7	FBgn0035194
g6498	0.938095238	0.015816704	0.000679421	0.0146886	0.015006215	0.019020328	3.05E-42	1.40E-39	sig	RL17	FBgn0029897
g5395	0.98	0.002360967	0.000107896	0.002181817	0.001673975	0.003061741	5.22E-40	2.39E-37	sig	CAF1	FBgn0263979
g8744	0.933333333	0.003374727	0.000154259	0.003118598	0.002998962	0.004313924	5.31E-40	2.44E-37	sig	DUOX	FBgn0283531
g14272	0.868666667	0.006544245	0.000304672	0.006038371	0.005485561	0.008187989	2.39E-39	1.09E-36	sig	Q8IND5	FBgn0038348
g298	0.99	0.015042299	0.000704107	0.013873205	0.015041508	0.018680795	3.71E-39	1.70E-36	sig	M9NG70	FBgn0263132
g8604	0.896363636	0.004218115	0.000203515	0.003880201	0.003984164	0.005042158	4.32E-38	1.98E-35	sig	Q8IRX4	FBgn0283451
g6467	0.895	0.01162487	0.000568527	0.010680892	0.004939075	0.016028881	1.29E-37	5.90E-35	sig	E1JJG5	FBgn0029720
g4712	0.97	0.003503823	0.00017681	0.00321025	0.002919074	0.004613357	1.56E-36	7.18E-34	sig	A0A0B4JD48	FBgn0013770
g12692	0.8315	0.002477235	0.00012819	0.002264391	0.001671453	0.003280543	1.14E-35	5.21E-33	sig	A1Z9X4	FBgn0029082
g90	0.986666667	0.00807071	0.000443519	0.007334295	0.006549107	0.011078791	1.20E-33	5.50E-31	sig	Q9VRY0	FBgn0035709
g1670	0.99	0.002393564	0.000136414	0.002167064	0.00151474	0.003484353	1.89E-32	8.68E-30	sig	O97479	FBgn0024289
g7849	0.99	0.004730249	0.000277535	0.004269433	0.001422389	0.006787303	1.65E-31	7.59E-29	sig	ROGDI	FBgn0036697
g1606	0.912	0.001584478	9.39E-05	0.001428491	0.000829061	0.002249344	3.59E-31	1.65E-28	sig	PAIN	FBgn0060296
g13208	0.867	0.004509902	0.000274804	0.00405362	0.004098275	0.005724512	2.65E-30	1.22E-27	sig	A0A0B4KGU4	FBgn0263231
g7704	0.873783784	0.00411502	0.000255394	0.003690966	0.003323571	0.00559172	1.00E-29	4.60E-27	sig	M9PCJ7	FBgn0260749
g9110	0.9	0.007785967	0.000490824	0.006971006	0.008319765	0.010439658	3.06E-29	1.41E-26	sig	MOX11	FBgn0036565
g5746	0.824	0.003568985	0.000225063	0.003195293	0.002048324	0.004457647	3.14E-29	1.44E-26	sig	PDK	FBgn0017558
g10578	0.803333333	0.003316754	0.000210661	0.002966976	0.001768663	0.005091248	5.22E-29	2.40E-26	sig	M9PGK2	FBgn0035132
g9480	0.908	0.003483649	0.000226056	0.003108308	0.002134792	0.004437762	2.37E-28	1.09E-25	sig	SC6A4	FBgn0010414
g3337	0.827857143	0.007328071	0.000482753	0.006526511	0.004533924	0.007608966	6.80E-28	3.12E-25	sig	Y5521	FBgn0039466
g1217	0.869444444	0.002932668	0.000197346	0.002604996	0.002496003	0.004152968	2.96E-27	1.36E-24	sig	KLP68	FBgn0004381
g1806	0.776923077	0.004273389	0.000310059	0.00375857	0.004732862	0.005913172	4.61E-25	2.12E-22	sig	Q8IQZ6	FBgn0261570
g9556	0.895555556	0.002673523	0.000217975	0.002311599	0.000843014	0.004139322	6.97E-22	3.20E-19	sig	Q9VL79	FBgn0032151
g13163	0.889565217	0.002275187	0.000187017	0.001964666	0.000841097	0.003233089	1.14E-21	5.22E-19	sig	ELF1	FBgn0259211
g5812	0.842	0.002219532	0.000192966	0.001899133	0.002068106	0.003267166	3.00E-20	1.38E-17	sig	FACR1	FBgn0034145
g9746	0.8675	0.004526641	0.000433752	0.003806444	0.00389159	0.007363773	6.13E-18	2.81E-15	sig	Q9Y162	FBgn0283469
g9736	0.9	0.003317556	0.000318702	0.002788386	0.003055576	0.005421221	7.00E-18	3.21E-15	sig	Q8IRX4	FBgn0283451
g2554	0.96	0.001560413	0.000156893	0.001299909	0.000371082	0.002802995	7.18E-17	3.30E-14	sig	Q9VPN5	FBgn0024352
g4821	0.99175	0.002196921	0.000226896	0.001820186	-7.58E-05	0.003881646	2.70E-16	1.24E-13	sig	X2JB44	FBgn0052677
g4646	0.949642857	0.00280092	0.000293916	0.002312905	0.002880559	0.004651525	5.81E-16	2.67E-13	sig	M9NEA5	FBgn0004198
g13296	0.775	0.004260143	0.000451793	0.00350999	0.001223574	0.00682488	9.61E-16	4.41E-13	sig	A0A0C4DHN1	FBgn0085638
g1229	0.814324324	0.002067668	0.000221994	0.001699071	-6.45E-05	0.003805493	1.72E-15	7.87E-13	sig	NUDEL	FBgn0002926
g1943	0.997777778	0.003543252	0.000396207	0.002885394	-0.000356686	0.006989817	1.10E-14	5.06E-12	sig	Q7JUV6	FBgn0265356
g11994	0.811428571	0.000723649	8.74E-05	0.000578456	4.40E-05	0.001418902	3.07E-13	1.41E-10	sig	C6A13	FBgn0033304
g8887	0.86	0.001008782	0.000133582	0.000786983	0.000675925	0.001886839	1.08E-11	4.96E-09	sig	C5WLT4	FBgn0019985
g2907	0.952	0.000774172	0.00010335	0.000602571	-7.30E-05	0.001504134	1.45E-11	6.67E-09	sig	Q9VDT5	FBgn0038738
g14319	0.754210526	0.005664635	0.000761621	0.004400046	-0.00159071	0.012239003	1.88E-11	8.64E-09	sig	PTC	FBgn0003892
g8136	0.965	0.003148573	0.000431275	0.002432488	0.000102358	0.007634478	3.65E-11	1.68E-08	notsig	Q9W0J9	FBgn0035189
g6963	0.805	0.002398867	0.000349286	0.001818915	-0.000352242	0.006088837	2.90E-10	1.33E-07	notsig	Q9VUL4	FBgn0036481
g5942	0.765	0.00113724	0.000166782	0.000860316	0.000790122	0.002204907	3.66E-10	1.68E-07	notsig	PYX	FBgn0035113
g96	0.937142857	0.003013548	0.000454118	0.002259534	-0.000537286	0.006959094	8.67E-10	3.98E-07	notsig	Q5LJN3	FBgn0046323
g7657	0.815652174	0.002244013	0.000339042	0.001681071	-0.000453719	0.005148145	9.40E-10	4.32E-07	notsig	Q9VK95	FBgn0041195
g5591	0.92	0.001274378	0.000196026	0.000948897	-9.03E-05	0.002214709	1.63E-09	7.48E-07	notsig	M9PC61	FBgn0051664
g9392	0.997777778	0.001584611	0.000280906	0.001118197	-0.001669333	0.003707514	8.03E-08	3.69E-05	notsig	NONA	FBgn0004227
g11340	0.981428571	0.001397747	0.000269114	0.000950913	-0.0006428	0.002476899	5.52E-07	0.000253217	notsig	Q9VQ08	FBgn0002543
g4603	0.934666667	0.000992219	0.000209789	0.000643886	-7.61E-05	0.002383471	3.74E-06	0.001715179	notsig	X2JKD2	FBgn0004924
g8246	0.993333333	0.003580501	0.000823422	0.002213299	-0.00154908	0.002203333	1.67E-05	0.007649574	notsig	STAR	FBgn0003310
g13173	0.775	0.000710926	0.000199477	0.000379716	-0.000575214	0.001570372	0.000282035	0.129454097	notsig	Q9V9Y8	FBgn0039838
g9167	0.89375	0.000470451	0.000134696	0.000246803	0.000489389	0.001165745	0.000358145	0.164388365	notsig	Q9W1J0	FBgn0034911
g13386	0.995	0.000583054	0.000168423	0.000303406	-0.000417048	0.001839954	0.000396776	0.182119993	notsig	MAD	FBgn0011648
g7308	0.835	0.000697221	0.000212624	0.000344182	-0.000335702	0.001485836	0.000718812	0.329934923	notsig	Q7KMM4	FBgn0027588
g10030	0.985	-0.008793397	0.000229517	-0.009174484	-0.009823988	-0.007498825	1	1	notsig	FUCTC	FBgn0044872
g10124	0.848	-0.002646544	7.49E-05	-0.002770899	-0.003096294	-0.002114271	1	1	notsig	PPT1	FBgn0030057
g10414	0.98	-0.003808869	9.11E-05	-0.003960081	-0.004392802	-0.003130207	1	1	notsig	Q9VJF7	FBgn0053179
g10460	0.958571429	-0.006234704	0.00015172	-0.006486619	-0.007290441	-0.005063094	1	1	notsig	ASTE	FBgn0015905
g10499	0.941666667	-0.004694131	0.000186121	-0.005003165	-0.00568163	-0.004011265	1	1	notsig	E1JJ45	FBgn0011224
g10620	0.875454545	-0.00722677	0.000229211	-0.007607349	-0.008992116	-0.005737411	1	1	notsig	Q8MLX0	FBgn0034568
g10629	1	-0.004754474	0.000125919	-0.00496355	-0.005633006	-0.003876375	1	1	notsig	MOB1	FBgn0038965
g10721	0.978538012	-0.007773893	0.000164897	-0.008047688	-0.009029643	-0.00663046	1	1	notsig	M9NEP1	FBgn0264695
g10770	0.985333333	-0.010268688	0.00018861	-0.010581855	-0.011565447	-0.008995225	1	1	notsig	E1JH11	FBgn0033313
g1120	0.99	-0.016882397	0.000239198	-0.01727956	-0.018609362	-0.015138048	1	1	notsig	HH	FBgn0004644
g11235	0.768571429	-0.0004265	0.000121069	-0.000627521	-0.000957165	0.000234928	0.999676099	1	notsig	VNNL1	FBgn0040069
g11257	0.84	-0.002590987	9.66E-05	-0.002751306	-0.003177218	-0.002069831	1	1	notsig	ACH4	FBgn0004118
g1138	0.86	-0.000409062	0.000491207	-0.001224657	-0.005049247	0.002639416	0.796509936	1	notsig	ORCT	FBgn0019952
g11479	0.865	-0.006163849	0.000213175	-0.006517803	-0.007788688	-0.004483218	1	1	notsig	Q9VLL5	FBgn0014417
g11560	0.97	-0.006386444	0.00023618	-0.006778594	-0.0078073	-0.005041454	1	1	notsig	Q0KI14	FBgn0051121
g11625	0.936	-0.005247906	0.0001914	-0.005565705	-0.006762157	-0.003934548	1	1	notsig	A0A0S0WH03	FBgn0262737
g11667	0.793333333	-0.000361745	0.000245722	-0.00076974	-0.002521297	0.002161703	0.927926236	1	notsig	A0A0B4LHX7	FBgn0243512
g11716	0.968333333	-0.006973697	0.000860995	-0.008403285	-0.011787672	-0.006456048	1	1	notsig	Q8MZI3	FBgn0035720
g11813	0.83122449	-0.00713835	0.000287317	-0.007615408	-0.009274345	-0.004718789	1	1	notsig	H5V864	FBgn0010905
g11854	0.807142857	-0.012936218	0.000184994	-0.013243381	-0.013955296	-0.011582935	1	1	notsig	XPC	FBgn0004698
g12120	0.819	-0.003427483	0.000321939	-0.003962028	-0.005664276	-0.002688095	1	1	notsig	ARI1	FBgn0017418
g12264	0.845319149	-0.004762059	0.000138441	-0.004991924	-0.005528459	-0.003776767	1	1	notsig	Q7KTC9	FBgn0032456
g12344	0.968	-0.009623436	0.000140859	-0.009857318	-0.010577022	-0.008602859	1	1	notsig	Q7JQR3	FBgn0033814
g12345	0.7925	-0.000216496	0.000148309	-0.000462747	-0.001131455	0.00059988	0.926239232	1	notsig	Q9VID4	FBgn0032940
g12387	0.8525	0.000971521	0.000612643	-4.57E-05	-0.003686825	0.006583393	0.057988393	1	notsig	A0A0B4JCR2	FBgn0033603
g12442	0.874	6.19E-05	0.000154779	-0.000195106	-0.00089769	0.001100763	0.345067743	1	notsig	HSF	FBgn0001222
g12513	0.987	-0.002253036	0.000157506	-0.002514558	-0.00339336	-0.001053737	1	1	notsig	X2J9B0	FBgn0024320
g1252	0.8825	-0.009481827	0.000306603	-0.009990907	-0.011772608	-0.006824831	1	1	notsig	A0A0B4K794	FBgn0260487
g12600	0.98	0.000110508	0.000580315	-0.000853042	-0.004176114	0.007012027	0.424682052	1	notsig	ORCT	FBgn0019952
g1271	0.988648649	-0.010264089	0.000445421	-0.011003662	-0.012883291	-0.007416174	1	1	notsig	Q9VJ95	FBgn0267486
g13042	0.853333333	0.000430281	0.000221575	6.24E-05	-0.000921974	0.001860339	0.027494445	1	notsig	M9PFL3	FBgn0040230
g13047	0.983333333	-0.011799651	0.000243422	-0.012203826	-0.013678074	-0.010163323	1	1	notsig	Q9VF50	FBgn0038350
g13147	0.99	-0.009920848	0.000193058	-0.0102414	-0.011421228	-0.008583523	1	1	notsig	Q95RB2	FBgn0033728
